ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
257,Ali Ashraf Siddiqui,NATHNAGAR,RJD,0,4 Crore+,,BIHAR,Graduate
258,Narayan Prasad,NAUTAN,BJP,0,1 Crore+,7 Lac+,BIHAR,10th Pass
259,Vibha Devi,NAWADA,RJD,0,0,42 Lac+,BIHAR,Literate
260,Aniruddha Prasad Yadav,NIRMALI,JD(U),0,6 Crore+,,BIHAR,12th Pass
261,Anita Devi,NOKHA,RJD,1,1 Crore+,12 Lac+,BIHAR,12th Pass
262,Rishi Kumar,OBRA,RJD,0,4 Crore+,23 Lac+,BIHAR,Post Graduate
263,Sandeep Saurav,PALIGANJ,CPI(ML)(L),0,3 Lac+,,BIHAR,Doctorate
264,Doctor Sanjeev Kumar,PARBATTA,JD(U),7,19 Crore+,1 Crore+,BIHAR,Doctorate
265,Gaytri Devi,PARIHAR,BJP,0,2 Crore+,55 Lac+,BIHAR,8th Pass
266,Ashok Kumar Singh,PAROO,BJP,3,2 Crore+,18 Lac+,BIHAR,Literate
267,Chhote Lal Ray,PARSA,RJD,3,2 Crore+,13 Lac+,BIHAR,10th Pass
268,Lakhendra Kumar Raushan,PATEPUR (SC),BJP,0,1 Crore+,9 Lac+,BIHAR,Graduate
269,Nand Kishore Yadav,PATNA SAHIB,BJP,1,0,,BIHAR,12th Pass
270,Sheela Kumari,PHULPARAS,JD(U),0,6 Crore+,,BIHAR,Post Graduate
271,Gopal Ravidas,PHULWARI (SC),CPI(ML)(L),0,1 Lac+,27 Thou+,BIHAR,Graduate
272,Rambilash Kamat,PIPRA,JD(U),3,53 Lac+,11 Lac+,BIHAR,Graduate
273,Shyambabu Prasad Yadav,PIPRA,BJP,2,1 Crore+,,BIHAR,12th Pass
274,Lalan Kumar,PIRPAINTI (SC),BJP,0,16 Lac+,,BIHAR,Graduate
275,Nisha Singh,PRANPUR,BJP,0,2 Crore+,27 Lac+,BIHAR,Graduate
276,Vijay Kumar Khemka,PURNIA,BJP,1,3 Crore+,,BIHAR,12th Pass
277,Mohammad Nehaluddin,RAFIGANJ,RJD,1,1 Crore+,,BIHAR,10th Pass
278,Tejashwi Prasad Yadav,RAGHOPUR ( VAISHALI ),RJD,11,5 Crore+,17 Thou+,BIHAR,8th Pass
279,Harishankar Yadav,RAGHUNATHPUR,RJD,3,0,2 Lac+,BIHAR,Literate
280,Pratima Kumari,RAJA PAKAR (SC),INC,1,94 Lac+,17 Lac+,BIHAR,Graduate Professional
281,Prakash Veer,RAJAULI (SC),RJD,2,5 Crore+,14 Lac+,BIHAR,12th Pass
282,Kaushal Kishore,RAJGIR (SC),JD(U),0,1 Crore+,,BIHAR,Graduate Professional
283,Dr. Ramprit Paswan,RAJNAGAR (SC),BJP,1,1 Crore+,10 Lac+,BIHAR,Doctorate
284,Vishwanath Ram,RAJPUR (SC),INC,0,76 Lac+,8 Lac+,BIHAR,Graduate
285,Sudhakar Singh,RAMGARH,RJD,2,5 Crore+,72 Lac+,BIHAR,Graduate
286,Bhagirathi Devi,RAMNAGAR (SC),BJP,0,65 Lac+,,BIHAR,5th Pass
287,Achmit Rishidev,RANIGANJ (SC),JD(U),1,66 Lac+,13 Lac+,BIHAR,Literate
288,Pramod Kumar Sinha,RAXAUL,BJP,1,1 Crore+,4 Lac+,BIHAR,Literate
289,Moti Lal Prasad,RIGA,BJP,4,0,2 Lac+,BIHAR,12th Pass
290,Birendra Kumar,ROSERA (SC),BJP,0,1 Crore+,,BIHAR,Graduate
291,Pankaj Kumar Mishra,RUNNISAIDPUR,JD(U),0,7 Crore+,51 Lac+,BIHAR,Graduate
292,Bima Bharti,RUPAULI,JD(U),4,2 Crore+,8 Lac+,BIHAR,10th Pass
293,Alok Ranjan,SAHARSA,BJP,1,4 Crore+,65 Lac+,BIHAR,Doctorate
294,Raju Kumar Singh,SAHEBGANJ,Vikassheel Insaan Party,10,9 Crore+,,BIHAR,Doctorate
295,Satanand Sambuddha Alias Lalan,SAHEBPUR KAMAL,RJD,0,4 Crore+,15 Lac+,BIHAR,Doctorate
296,Ashok Kumar Chodhary,SAKRA (SC),JD(U),5,21 Crore+,84 Lac+,BIHAR,12th Pass
297,Akhtarul Islam Shahin,SAMASTIPUR,RJD,5,67 Lac+,,BIHAR,12th Pass
298,Kiran Devi,SANDESH,RJD,1,17 Crore+,1 Crore+,BIHAR,Literate
299,Vijay Kumar Choudhary,SARAIRANJAN,JD(U),0,0,,BIHAR,Post Graduate
300,Rajesh Kumar Gupta,SASARAM,RJD,0,3 Crore+,35 Lac+,BIHAR,Graduate
301,Rahul Tiwari,SHAHPUR,RJD,1,7 Crore+,2 Crore+,BIHAR,12th Pass
302,Vijay Kumar,SHEIKHPURA,RJD,7,6 Crore+,76 Lac+,BIHAR,Graduate
303,Chetan Anand,SHEOHAR,RJD,0,67 Lac+,,BIHAR,Graduate Professional
304,Manju Agrawal,SHERGHATI,RJD,4,4 Crore+,,BIHAR,Graduate Professional
305,Prafull Kumar Manjhi,SIKANDRA (SC),Hindustani Awam Morcha (Secular),0,14 Lac+,,BIHAR,Graduate
306,Birendra Prasad Gupta,SIKTA,CPI(ML)(L),5,98 Lac+,1 Lac+,BIHAR,12th Pass
307,Vijay Kumar Mandal,SIKTI,BJP,1,1 Crore+,,BIHAR,10th Pass
308,Yusuf Salahuddin,SIMRI BAKHTIARPUR,RJD,1,13 Crore+,,BIHAR,Graduate
309,Chandrahas Chaupal,SINGHESHWAR (SC),RJD,2,0,,BIHAR,12th Pass
310,Mithilesh Kumar,SITAMARHI,BJP,0,11 Crore+,,BIHAR,Graduate
311,Awadh Bihari Chaudhary,SIWAN,RJD,2,2 Crore+,19 Lac+,BIHAR,Graduate
312,Ratnesh Sada,SONBARSHA (SC),JD(U),1,1 Crore+,4 Lac+,BIHAR,12th Pass
313,Dr. Ramanuj Prasad,SONEPUR,RJD,4,1 Crore+,1 Lac+,BIHAR,Doctorate
314,Er. Shashi Bhushan Singh,SUGAULI,RJD,7,10 Crore+,85 Lac+,BIHAR,12th Pass
315,Lalit Narayan Mandal,SULTANGANJ,JD(U),0,1 Crore+,,BIHAR,Doctorate
316,Bijendra Prasad Yadav,SUPAUL,JD(U),0,2 Crore+,,BIHAR,12th Pass
317,Dilip Ray,SURSAND,JD(U),2,4 Crore+,29 Lac+,BIHAR,12th Pass
318,Janak Singh,TARAIYA,BJP,6,6 Crore+,29 Lac+,BIHAR,Graduate
319,Mewa Lal Choudhary,TARAPUR,JD(U),1,0,30 Thou+,BIHAR,Doctorate
320,Sudama Prasad S/O Ganga Dayal Sah,TARARI,CPI(ML)(L),3,62 Lac+,16 Thou+,BIHAR,Graduate
321,Ram Ratan Singh,TEGHRA,CPI,2,4 Crore+,,BIHAR,12th Pass
322,Saud Alam,THAKURGANJ,RJD,0,63 Lac+,,BIHAR,Graduate
323,Anil Kumar,TIKARI,Hindustani Awam Morcha (Secular),4,1 Crore+,14 Lac+,BIHAR,Post Graduate
324,Veena Bharti,TRIVENIGANJ (SC),JD(U),0,3 Crore+,,BIHAR,12th Pass
325,Alok Kumar Mehta,UJIARPUR,RJD,3,7 Crore+,52 Lac+,BIHAR,Graduate Professional
326,Siddharth Patel,VAISHALI,JD(U),0,2 Crore+,80 Thou+,BIHAR,Graduate
327,Dhirendra Pratap Singh Alias Rinku Singh,VALMIKI NAGAR,JD(U),2,4 Crore+,27 Lac+,BIHAR,Graduate Professional
328,Ashok Kumar,WARISNAGAR,JD(U),0,7 Crore+,,BIHAR,Graduate
329,Aruna Devi,WARSALIGANJ,BJP,1,0,48 Lac+,BIHAR,10th Pass
330,Birendra Singh,WAZIRGANJ,BJP,2,1 Crore+,3 Lac+,BIHAR,Graduate
331,Amarjeet Kushwaha,ZIRADEI,CPI(ML)(L),14,19 Lac+,,BIHAR,Graduate
332,Abdul Batin Khandakar,ABHAYAPURI NORTH,INC,0,1 Crore+,27 Lac+,ASSAM,Graduate Professional
333,Pradip Sarkar,ABHAYAPURI SOUTH (SC),INC,0,3 Crore+,,ASSAM,12th Pass
334,Nijam Uddin Choudhury,ALGAPUR,AIUDF,1,13 Crore+,13 Crore+,ASSAM,8th Pass
335,Prodip Hazarika,AMGURI,AGP,0,2 Crore+,19 Lac+,ASSAM,Post Graduate
336,Abdul Aziz,BADARPUR,AIUDF,1,3 Crore+,1 Crore+,ASSAM,12th Pass
337,Sherman Ali Ahmed,BAGHBAR,INC,1,3 Crore+,2 Lac+,ASSAM,Graduate
338,Rupsing Teron,BAITHALANGSO (ST),BJP,0,75 Lac+,,ASSAM,Graduate
339,Bhupen Baro,BARAMA (ST),United Peoples Party,0,33 Lac+,,ASSAM,10th Pass
340,Ganesh Kumar Limbu,BARCHALLA,BJP,0,1 Crore+,7 Lac+,ASSAM,Post Graduate
341,Jitu Goswami,BARHAMPUR,BJP,3,0,3 Crore+,ASSAM,12th Pass
342,Diganta Barman,BARKHETRY,INC,0,5 Crore+,19 Lac+,ASSAM,Graduate
343,Misbahul Islam Laskar,BARKHOLA,INC,0,47 Lac+,7 Lac+,ASSAM,Graduate Professional
344,Abdur Rahim Ahmed,BARPETA,INC,0,41 Lac+,,ASSAM,Graduate
345,Sibamoni Bora,BATADROBA,INC,0,1 Crore+,11 Lac+,ASSAM,Post Graduate
346,Ranjit Dutta,BEHALI,BJP,0,6 Crore+,61 Lac+,ASSAM,12th Pass
347,Phanidhar Talukdar,BHABANIPUR,AIUDF,1,11 Crore+,2 Crore+,ASSAM,12th Pass
348,Dr. Amiya Kumar Bhuyan,BIHPURIA,BJP,0,1 Crore+,57 Lac+,ASSAM,Doctorate
349,Ajoy Kumar Ray,BIJNI,BJP,0,23 Lac+,,ASSAM,Graduate
350,Samsul Huda,BILASIPARA EAST,AIUDF,0,19 Lac+,,ASSAM,Post Graduate
351,Hafiz Bashir Ahmed,BILASIPARA WEST,AIUDF,0,0,40 Lac+,ASSAM,Post Graduate
352,Promod Borthakur,BISWANATH,BJP,0,90 Lac+,7 Lac+,ASSAM,Post Graduate
353,Numal Momin,BOKAJAN (ST),BJP,0,1 Crore+,46 Lac+,ASSAM,Post Graduate
354,Atul Bora,BOKAKHAT,AGP,1,3 Crore+,2 Lac+,ASSAM,Post Graduate
355,Nandita Das,BOKO (SC),INC,0,3 Crore+,18 Lac+,ASSAM,Graduate
356,Phani Bhusan Choudhury,BONGAIGAON,AGP,0,2 Crore+,5 Lac+,ASSAM,Graduate
357,Ponakan Baruah,CHABUA,AGP,0,1 Crore+,10 Lac+,ASSAM,Graduate
358,Urkhao Gwra Brahma,CHAPAGURI (ST),United Peoples Party,0,77 Lac+,,ASSAM,Graduate
359,Rekibuddin Ahmed,CHAYGAON,INC,5,3 Crore+,61 Lac+,ASSAM,12th Pass
360,Ashraful Hussain,CHENGA,AIUDF,4,2 Lac+,,ASSAM,Graduate
361,Mazibur Rahman,DALGAON,AIUDF,1,0,34 Lac+,ASSAM,Graduate Professional
362,Bhabendra Nath Bharali,DERGAON (SC),AGP,0,1 Crore+,2 Lac+,ASSAM,Graduate
363,Naba Kumar Doley,DHAKUAKHANA (ST),BJP,0,25 Crore+,4 Crore+,ASSAM,12th Pass
364,Chandra Mohan Patowary,DHARMAPUR,BJP,0,3 Crore+,1 Crore+,ASSAM,Post Graduate
365,Ashok Singhal,DHEKIAJULI,BJP,0,17 Crore+,3 Crore+,ASSAM,Graduate
366,Ranoj Pegu,DHEMAJI (ST),BJP,0,1 Crore+,12 Lac+,ASSAM,Graduate Professional
367,Aminul Islam,DHING,AIUDF,4,28 Lac+,5 Lac+,ASSAM,Post Graduate
368,Parimal Sukla Baidya,DHOLAI (SC),BJP,0,1 Crore+,,ASSAM,Graduate
369,Nazrul Hoque,DHUBRI,AIUDF,0,10 Crore+,48 Lac+,ASSAM,Graduate
370,Prasanta Phukan,DIBRUGARH,BJP,0,4 Crore+,84 Lac+,ASSAM,10th Pass
371,Suren Phukan,DIGBOI,BJP,0,0,55 Lac+,ASSAM,10th Pass
372,Bidya Sing Engleng,DIPHU (ST),BJP,0,1 Crore+,50 Thou+,ASSAM,Graduate
373,Atul Bora,DISPUR,BJP,1,2 Crore+,9 Lac+,ASSAM,Graduate
374,Rupesh Gowala,DOOM DOOMA,BJP,0,36 Lac+,2 Lac+,ASSAM,Graduate
375,Jadab Swargiary,DUDHNAI (ST),INC,0,31 Lac+,,ASSAM,Graduate
376,Terash Gowala,DULIAJAN,BJP,0,65 Lac+,50 Lac+,ASSAM,Graduate
377,Siddhartha Bhattacharya,GAUHATI EAST,BJP,0,8 Crore+,3 Crore+,ASSAM,Post Graduate
378,Ramendra Narayan Kalita,GAUHATI WEST,AGP,0,2 Crore+,3 Lac+,ASSAM,Graduate Professional
379,Nizanur Rahman,GAURIPUR,AIUDF,2,59 Lac+,15 Lac+,ASSAM,Graduate
380,Abul Kalam Rasheed Alam,GOALPARA EAST,INC,3,4 Crore+,16 Lac+,ASSAM,Graduate
381,Abdur Rashid Mandal,GOALPARA WEST,INC,1,0,,ASSAM,Others
382,Sri Utpal Borah,GOHPUR,BJP,0,4 Crore+,1 Crore+,ASSAM,Graduate Professional
383,Ajanta Neog,GOLAGHAT,BJP,0,2 Crore+,,ASSAM,Post Graduate
384,Abdus Sobahan Ali Sarkar,GOLAKGANJ,INC,1,12 Lac+,2 Lac+,ASSAM,Graduate
385,Majendra Narzary,GOSSAIGAON,Bodoland Peoples Front,0,2 Crore+,,ASSAM,Graduate
386,Nandita Gorlosa,HAFLONG (ST),BJP,0,5 Lac+,,ASSAM,Post Graduate
387,Zakir Hussain Laskar,HAILAKANDI,AIUDF,0,30 Lac+,17 Lac+,ASSAM,10th Pass
388,Suman Haripriya,HAJO,BJP,0,3 Crore+,,ASSAM,Post Graduate
389,Ramkrishna Ghosh,HOJAI,BJP,0,16 Lac+,,ASSAM,Post Graduate
390,Darsing Ronghang,HOWRAGHAT (ST),BJP,1,1 Crore+,,ASSAM,Graduate
391,Pijush Hazarika,JAGIROAD (SC),BJP,0,0,46 Lac+,ASSAM,Graduate
392,Aftab Uddin Mollah,JALESWAR,INC,1,3 Crore+,,ASSAM,Post Graduate
393,Himanta Biswa Sarma,JALUKBARI,BJP,0,17 Crore+,3 Crore+,ASSAM,Doctorate
394,Siraj Uddin Ajmal,JAMUNAMUKH,AIUDF,1,111 Crore+,5 Crore+,ASSAM,12th Pass
395,Rafiqul Islam,JANIA,AIUDF,2,46 Lac+,,ASSAM,Doctorate
396,Bhuban Pegu,JONAI (ST),BJP,0,3 Crore+,73 Lac+,ASSAM,Post Graduate
397,Hitendra Nath Goswami,JORHAT,BJP,0,1 Crore+,7 Lac+,ASSAM,Post Graduate
398,Durga Das Boro,KALAIGAON,Bodoland Peoples Front,0,1 Crore+,,ASSAM,Graduate
399,Keshab Mahanta,KALIABOR,AGP,0,3 Crore+,9 Lac+,ASSAM,Post Graduate
400,Diganta Kalita,KAMALPUR,BJP,3,3 Crore+,1 Crore+,ASSAM,Graduate
401,Kamalakhya Dey Purkayastha,KARIMGANJ NORTH,INC,0,0,,ASSAM,12th Pass
402,Siddeque Ahmed,KARIMGANJ SOUTH,INC,7,26 Crore+,12 Lac+,ASSAM,10th Pass
403,Khalil Uddin Mazumder,KATIGORA,INC,0,2 Crore+,39 Lac+,ASSAM,8th Pass
404,Suzam Uddin Laskar,KATLICHERA,AIUDF,0,99 Lac+,5 Lac+,ASSAM,12th Pass
405,Mrinal Saikia,KHUMTAI,BJP,0,86 Lac+,,ASSAM,Post Graduate
406,Lawrence Islary,KOKRAJHAR EAST (ST),United Peoples Party,0,77 Lac+,,ASSAM,Graduate
407,Rabiram Narzary,KOKRAJHAR WEST (ST),Bodoland Peoples Front,0,77 Lac+,15 Lac+,ASSAM,Graduate
408,Dr. Asif Mohammad Nazar,LAHARIGHAT,INC,0,10 Crore+,2 Crore+,ASSAM,Post Graduate
409,Binod Hazarika,LAHOWAL,BJP,0,94 Lac+,27 Lac+,ASSAM,12th Pass
410,Manab Deka,LAKHIMPUR,BJP,2,5 Crore+,2 Crore+,ASSAM,Graduate
411,Kaushik Rai,LAKHIPUR,BJP,0,0,71 Lac+,ASSAM,Graduate Professional
412,Sibu Misra,LUMDING,BJP,0,87 Lac+,6 Lac+,ASSAM,10th Pass
413,Jogen Mohan,MAHMARA,BJP,0,1 Crore+,16 Lac+,ASSAM,12th Pass
414,Charan Boro,MAJBAT,Bodoland Peoples Front,0,2 Crore+,55 Lac+,ASSAM,Post Graduate
415,Sarbananda Sonowal,MAJULI (ST),BJP,0,3 Crore+,27 Lac+,ASSAM,Graduate Professional
416,Basanta Das,MANGALDOI (SC),INC,0,3 Crore+,70 Lac+,ASSAM,Graduate
417,Md. Aminul Islam,MANKACHAR,AIUDF,0,72 Lac+,,ASSAM,Post Graduate
418,Bhaskar Sharma,MARGHERITA,BJP,0,11 Crore+,3 Crore+,ASSAM,10th Pass
419,Rupjyoti Kurmi,MARIANI,INC,2,1 Crore+,27 Lac+,ASSAM,12th Pass
420,Rama Kanta Dewri,MARIGAON,BJP,2,3 Crore+,15 Lac+,ASSAM,10th Pass
421,Chakradhar Gogoi,MORAN,BJP,0,0,7 Lac+,ASSAM,Graduate
422,Taranga Gogoi,NAHARKATIA,BJP,0,1 Crore+,,ASSAM,12th Pass
423,Jayanta Malla Baruah,NALBARI,BJP,0,4 Crore+,17 Lac+,ASSAM,Graduate
424,Bharat Chandra Narah,NAOBOICHA,INC,1,21 Crore+,1 Crore+,ASSAM,Post Graduate
425,Debabrata Saikia,NAZIRA,INC,1,5 Crore+,1 Crore+,ASSAM,Graduate
426,Rupak Sarmah,NOWGONG,BJP,0,8 Crore+,1 Crore+,ASSAM,Graduate
427,Hemanga Thakuria,PALASBARI,BJP,0,5 Lac+,32 Lac+,ASSAM,Post Graduate
428,Biswajit Daimary,PANERY,BJP,0,3 Crore+,,ASSAM,Post Graduate
429,Ranjeet Kumar Dass,PATACHARKUCHI,BJP,0,5 Crore+,1 Crore+,ASSAM,Post Graduate
430,Krishnendu Paul,PATHARKANDI,BJP,0,5 Crore+,2 Crore+,ASSAM,Graduate
431,Sashi Kanta Das,RAHA (SC),INC,0,0,15 Lac+,ASSAM,12th Pass
432,Krishna Kamal Tanti,RANGAPARA,BJP,0,35 Lac+,,ASSAM,Graduate Professional
433,Bhabesh Kalita,RANGIYA,BJP,0,1 Crore+,34 Lac+,ASSAM,Graduate Professional
434,Bijoy Malakar,RATABARI (SC),BJP,0,70 Lac+,2 Lac+,ASSAM,10th Pass
435,Nurul Huda,RUPOHIHAT,INC,0,2 Crore+,49 Lac+,ASSAM,10th Pass
436,Bolin Chetia,SADIYA,BJP,0,2 Crore+,41 Lac+,ASSAM,12th Pass
437,Wazed Ali Choudhury,SALMARA SOUTH,INC,1,11 Crore+,95 Lac+,ASSAM,Graduate
438,Rakibul Hussain,SAMAGURI,INC,0,8 Crore+,57 Lac+,ASSAM,Graduate
439,Jakir Hussain Sikdar,SARUKHETRI,INC,1,77 Lac+,30 Lac+,ASSAM,Graduate
440,Biswajit Phukan,SARUPATHAR,BJP,0,10 Crore+,5 Crore+,ASSAM,Post Graduate
441,Akhil Gogoi,SIBSAGAR,IND,52,0,30 Lac+,ASSAM,Graduate
442,Joyanta Basumatary,SIDLI (ST),United Peoples Party,0,4 Lac+,,ASSAM,Graduate
443,Dipayan Chakraborty,SILCHAR,BJP,1,28 Lac+,,ASSAM,Graduate
444,Paramananda Rajbongshi,SIPAJHAR,BJP,1,50 Lac+,16 Lac+,ASSAM,Doctorate
445,Karim Uddin Barbhuiya,SONAI,AIUDF,1,16 Crore+,1 Crore+,ASSAM,Graduate
446,Dharmeswar Konwar,SONARI,BJP,0,1 Crore+,3 Lac+,ASSAM,12th Pass
447,Padma Hazarika,SOOTEA,BJP,1,10 Crore+,1 Crore+,ASSAM,12th Pass
448,Manoranjan Talukdar,SORBHOG,CPI(M),0,1 Crore+,,ASSAM,Graduate
449,Leho Ram Boro,TAMULPUR,United Peoples Party,0,91 Lac+,,ASSAM,Graduate
450,Renupoma Rajkhowa,TEOK,AGP,0,1 Crore+,43 Lac+,ASSAM,12th Pass
451,Prithiraj Rava,TEZPUR,AGP,0,0,41 Lac+,ASSAM,12th Pass
452,Sushanta Borgohain,THOWRA,INC,0,2 Crore+,,ASSAM,Graduate
453,Bimal Borah,TINGKHONG,BJP,0,1 Crore+,12 Lac+,ASSAM,Graduate
454,Sanjoy Kishan,TINSUKIA,BJP,0,55 Lac+,7 Lac+,ASSAM,10th Pass
455,Bhaskar Jyoti Baruah,TITABAR,INC,0,11 Crore+,6 Crore+,ASSAM,Graduate
456,Gobinda Chandra Basumatari,UDALGURI (ST),United Peoples Party,2,34 Lac+,,ASSAM,Post Graduate
457,Mihir Kanti Shome,UDHARBOND,BJP,0,42 Lac+,1 Lac+,ASSAM,10th Pass
458,Kento Jini,ALONG EAST,BJP,0,8 Crore+,9 Lac+,ARUNACHALPRADESH,Graduate Professional
459,Tumke Bagra,ALONG WEST,BJP,0,7 Crore+,,ARUNACHALPRADESH,Graduate Professional
460,Mopi Mihu,ANINI,BJP,0,2 Crore+,,ARUNACHALPRADESH,5th Pass
461,Goruk Pordung,BAMENG,BJP,0,3 Crore+,,ARUNACHALPRADESH,Literate
462,Gokar Basar,BASAR,NPP,1,1 Crore+,19 Lac+,ARUNACHALPRADESH,Graduate
463,Dongru Siongju,BOMDILA,JD(U),0,1 Crore+,,ARUNACHALPRADESH,8th Pass
464,Somlung Mossang,BORDUMSA - DIYUM,IND,0,1 Crore+,,ARUNACHALPRADESH,10th Pass
465,Wanglin Lowangdong,BORDURIA BOGAPANI,INC,0,8 Crore+,,ARUNACHALPRADESH,Graduate
466,Tesam Pongte,CHANGLANG NORTH,BJP,0,2 Crore+,,ARUNACHALPRADESH,Graduate
467,Phosum Khimhun,CHANGLANG SOUTH,BJP,0,0,,ARUNACHALPRADESH,12th Pass
468,Hayeng Mangfi,CHAYANG TAJO,JD(U),0,28 Crore+,17 Crore+,ARUNACHALPRADESH,Graduate Professional
469,Chowna Mein,CHOWKHAM,BJP,0,64 Crore+,8 Lac+,ARUNACHALPRADESH,Graduate
470,Gum Tayeng,DAMBUK,BJP,0,4 Crore+,,ARUNACHALPRADESH,12th Pass
471,Tanya Soki,DAPORIJO,BJP,2,19 Crore+,5 Crore+,ARUNACHALPRADESH,Graduate
472,Phurpa Tsering,DIRANG,BJP,0,10 Crore+,94 Lac+,ARUNACHALPRADESH,12th Pass
473,Tana Hali Tara,DOIMUKH,BJP,0,84 Crore+,,ARUNACHALPRADESH,10th Pass
474,Rode Bui,DUMPORIJO,BJP,0,1 Lac+,,ARUNACHALPRADESH,10th Pass
475,Dasanglu Pul,HAYULIANG,BJP,0,6 Crore+,,ARUNACHALPRADESH,12th Pass
476,Techi Kaso,ITANAGAR,JD(U),0,31 Crore+,4 Crore+,ARUNACHALPRADESH,Illiterate
477,Dorjee Wangdi Kharma,KALAKTANG,JD(U),0,0,,ARUNACHALPRADESH,Post Graduate
478,Gabriel Denwang Wangsu,KANUBARI,BJP,0,1 Crore+,,ARUNACHALPRADESH,Graduate
479,Wanglam Sawin,KHONSA EAST,BJP,0,84 Lac+,,ARUNACHALPRADESH,12th Pass
480,Tirong Aboh,KHONSA WEST,NPP,0,10 Crore+,,ARUNACHALPRADESH,12th Pass
481,Lokam Tassar,KOLORIANG,BJP,2,11 Crore+,3 Crore+,ARUNACHALPRADESH,10th Pass
482,Jummum Ete Deori,LEKANG,BJP,0,2 Crore+,16 Lac+,ARUNACHALPRADESH,12th Pass
483,Kardo Nyigyor,LIKABALI,Peoples Party of Arunachal,0,7 Crore+,,ARUNACHALPRADESH,10th Pass
484,Nyamar Karbak,LIROMOBA,BJP,0,1 Crore+,,ARUNACHALPRADESH,Post Graduate
485,Tanpho Wangnaw,LONGDING PUMAO,BJP,2,2 Crore+,,ARUNACHALPRADESH,Graduate
486,Jambey Tashi,LUMLA,BJP,0,40 Crore+,3 Crore+,ARUNACHALPRADESH,Graduate
487,Kanggong Taku,MARIYANG-GEKU,JD(U),0,0,,ARUNACHALPRADESH,12th Pass
488,Lombo Tayeng,MEBO,INC,0,148 Crore+,,ARUNACHALPRADESH,Graduate
489,Pasang Dorjee Sona,MECHUKHA,BJP,0,2 Crore+,,ARUNACHALPRADESH,Graduate
490,Kamlung Mosang,MIAO,BJP,0,6 Crore+,,ARUNACHALPRADESH,Graduate Professional
491,Pema Khandu,MUKTO,BJP,0,163 Crore+,,ARUNACHALPRADESH,Graduate
492,Nakap Nalo,NACHO,BJP,0,1 Crore+,,ARUNACHALPRADESH,Post Graduate
493,Laisam Simai,NAMPONG,BJP,0,75 Lac+,,ARUNACHALPRADESH,Graduate
494,Chau Zingnu Namchoom,NAMSAI,BJP,0,27 Crore+,98 Lac+,ARUNACHALPRADESH,Graduate
495,Wangki Lowang,NAMSANG,BJP,0,5 Crore+,,ARUNACHALPRADESH,Post Graduate
496,Kento Rina,NARI-KOYU,BJP,0,2 Crore+,,ARUNACHALPRADESH,Graduate Professional
497,Bamang Felix,NYAPIN,BJP,0,0,,ARUNACHALPRADESH,12th Pass
498,Biyuram Wahge,PAKKE KESSANG,BJP,0,7 Crore+,29 Lac+,ARUNACHALPRADESH,10th Pass
499,Balo Raja,PALIN,BJP,0,10 Crore+,26 Lac+,ARUNACHALPRADESH,Graduate
500,Ojing Tasing,PANGIN,BJP,3,1 Crore+,,ARUNACHALPRADESH,Graduate
501,Kaling Moyong,PASIGHAT EAST,BJP,0,2 Crore+,,ARUNACHALPRADESH,12th Pass
502,Ninong Ering,PASIGHAT WEST,INC,0,9 Crore+,,ARUNACHALPRADESH,Graduate
503,Honchun Ngandam,PONGCHAO WAKKA,BJP,0,6 Crore+,,ARUNACHALPRADESH,Graduate
504,Tarin Dakpe,RAGA,NPP,2,14 Crore+,,ARUNACHALPRADESH,Graduate
505,Mutchu Mithi,ROING,NPP,0,4 Crore+,,ARUNACHALPRADESH,Graduate
506,Talem Taboh,RUMGONG,JD(U),0,9 Crore+,,ARUNACHALPRADESH,Graduate Professional
507,Nabam Tuki,SAGALEE,INC,1,0,20 Crore+,ARUNACHALPRADESH,Graduate
508,Tapuk Taku,SEPPA EAST,NPP,2,4 Crore+,15 Lac+,ARUNACHALPRADESH,12th Pass
509,Mama Natung,SEPPA WEST,BJP,0,9 Crore+,23 Lac+,ARUNACHALPRADESH,12th Pass
510,Jikke Tako,TALI,JD(U),0,2 Crore+,,ARUNACHALPRADESH,Post Graduate
511,Nyato Rigia,TALIHA,BJP,0,11 Lac+,,ARUNACHALPRADESH,Graduate
512,Tsering Tashi,TAWANG,BJP,0,109 Crore+,,ARUNACHALPRADESH,Graduate
513,Karikho Kri,TEZU,IND,5,18 Crore+,74 Thou+,ARUNACHALPRADESH,10th Pass
514,Kumsi Sidisow,THRIZINO-BURAGAON,BJP,1,4 Crore+,8 Lac+,ARUNACHALPRADESH,Graduate
515,Sri Alo Libang,TUTING YINGKIONG,BJP,0,2 Crore+,,ARUNACHALPRADESH,Graduate
516,Taba Tedir,YACHULI,BJP,0,49 Crore+,37 Lac+,ARUNACHALPRADESH,Graduate Professional
517,Tage Taki,ZIRO HAPOLI,BJP,0,0,24 Lac+,ARUNACHALPRADESH,Graduate Professional
518,Cherukuvada Sriranganadha Raju,ACHANTA,YSRCP,0,44 Crore+,12 Crore+,ANDHRAPRADESH,8th Pass
519,Gottipati Ravi Kumar,ADDANKI,TDP,1,58 Crore+,13 Crore+,ANDHRAPRADESH,12th Pass
520,Y. Sai Prasad Reddy,ADONI,YSRCP,0,9 Crore+,1 Crore+,ANDHRAPRADESH,10th Pass
